Include,,Category,Name,Link,Summary,StandardStatus,IEStatus,IEPrefixed,IEUnprefixed,MSDN,WebPlatDocs,Demo,ID,ChromeStatus,FFStatus,OperaStatus,SafariStatus
TRUE,,Graphics,SVG2,https://svgwg.org/svg2-draft/single-page.html,Implement the new SVG2 features.,Working draft or equivalent,Under Consideration,,,,,,@5760616295825408,,,,
TRUE,,Network / Connectivity,TLS 1.2,http://tools.ietf.org/html/rfc5246,"The latest version of the Transport Layer Security (TLS) protocol. Allows for data/message confidentiality, and message authentication codes for message integrity and as a by-product message authentication.",Established standard,Shipped,,8,,,,@5197666342404096,,,,
TRUE,,Multimedia,Track element,http://whatwg.org/html#the-track-element,"Add subtitles, captions, screen reader descriptions, chapters and other types of timed metadata to video and audio. ",Established standard,Shipped,,10,http://msdn.microsoft.com/library/ie/bg123962,,,@6719115557339136,,,,
TRUE,,CSS,Transforms,http://dev.w3.org/csswg/css3-transforms/,Enables changing the position of content in 3D space without disrupting the normal flow. See also preserve-3d.,Established standard,Shipped,,9,http://msdn.microsoft.com/en-us/library/ie/hh772059(v=vs.85).aspx,http://docs.webplatform.org/wiki/tutorials/css_transforms,,@6437640580628480,,,,
TRUE,,Performance,Typed Arrays,http://www.khronos.org/registry/typedarray/specs/latest/,"Buffers for holding binary data and working with WebGL & Audio API: ArrayBuffer, Float32Array , Int16Array, Uint8Array, etc.)",Established standard,Shipped,,10,http://msdn.microsoft.com/en-us/library/ie/hh869304(v=vs.85).aspx,,,@5135818813341696,,,,
TRUE,,Multimedia,UIEvents - Keyboard Query APIs,https://dvcs.w3.org/hg/d4e/raw-file/tip/source_respec.htm,Identify the physical key being pressed; Query key from layout.,Editor's draft,Not currently planned,,,,,,@5593215650496512,,,,
TRUE,,DOM,URL API,https://dvcs.w3.org/hg/url/raw-file/tip/Overview.html,Expose constructible URL objects that can be manipulated and combined.,Established standard,Under Consideration,,,,,,@5675829346435072,,,,
TRUE,Jatinder,Performance,User Timing API,https://dvcs.w3.org/hg/webperf/raw-file/tip/specs/UserTiming/Overview.html,Helps web developers measure the performance of their applications by giving them access to high precision timestamps.,Working draft or equivalent,Shipped,,10,http://msdn.microsoft.com/en-us/library/ie/hh772738(v=vs.85).aspx,http://docs.webplatform.org/wiki/apis/user_timing,,@5066549580791808,,,,
TRUE,,Device,Vibration API,http://dev.w3.org/2009/dap/vibration/,This specification defines an API that provides access to the vibration mechanism of the hosting device. Vibration is a form of tactile feedback. ,Working draft or equivalent,Under Consideration,,,,http://docs.webplatform.org/wiki/apis/vibration,,@5698768766763008,,,,
FALSE,,Multimedia,VP9,http://tools.ietf.org/html/draft-grange-vp9-bitstream,VP9 is an open and royalty free video compression standard.,Editor's draft,Not currently planned,,,,,,@6362186595172352,,,,
TRUE,,JavaScript,WeakMap,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,WeakMaps are key/value maps in which keys are objects.,Editor's draft,Shipped,,11,http://msdn.microsoft.com/library/ie/dn251546,,,@4572868859920384,,,,
TRUE,,Graphics,Web Animations JavaScript API,http://www.w3.org/TR/web-animations/,A unified model for supporting animation and synchronization on the Web platform.,Working draft or equivalent,Under Consideration,,,,,,@4854343836631040,,,,
TRUE,,Security,Web Crypto API,https://dvcs.w3.org/hg/webcrypto-api/raw-file/tip/spec/Overview.html,JavaScript bindings for cryptographic operations,Working draft or equivalent,Prefixed,11,,http://msdn.microsoft.com/en-us/library/ie/dn265046(v=vs.85).aspx,,,@5030265697075200,,,,
TRUE,,Multimedia,Web MIDI API,http://webaudio.github.com/web-midi-api/,"Defines an API supporting the MIDI protocol, enabling web applications to enumerate and select MIDI input and output devices on the client system and send and receive MIDI messages.",Working draft or equivalent,Not currently planned,,,,,,@4923613069180928,,,,
TRUE,,Multimedia,Web Notifications,http://www.w3.org/TR/notifications/,An API for displaying simple notifications to the user.,Established standard,Under Consideration,,,,,,@5064350557536256,,,,
TRUE,,Multimedia,Web Speech API (input),https://dvcs.w3.org/hg/speech-api/raw-file/tip/speechapi.html,Enables web developers to incorporate speech recognition into their web pages.,Working draft or equivalent,Under Consideration,,,,,,@5908775487668224,,,,
TRUE,,Multimedia,Web Speech API (synthesis),https://dvcs.w3.org/hg/speech-api/raw-file/tip/speechapi.html,Enables web developers to incorporate speech synthesis into their web pages. ,Editor's draft,Under Consideration,,,,,,@4782875580825600,,,,
TRUE,,Multimedia,Web SQL Database,http://www.w3.org/TR/webdatabase/,API exposing an SQLite database,No public standards discussion,Not currently planned,,,,,,@6330987952734208,,,,
TRUE,,Offline / Storage,Web Storage,http://whatwg.org/html#webstorage,Refers to both localStorage and sessionStorage,Established standard,Shipped,,8,http://msdn.microsoft.com/en-us/library/ie/bg142799(v=vs.85).aspx,http://docs.webplatform.org/wiki/apis/web-storage,,@5345825534246912,,,,
TRUE,,Graphics,WebGL  (Canvas 3D),http://www.khronos.org/registry/webgl/specs/latest/,3D rendering via the <canvas> element. ,Established standard,Shipped,,11,http://msdn.microsoft.com/library/ie/bg182648,http://docs.webplatform.org/wiki/webgl,,@6049512976023552,,,,
TRUE,,Graphics,WebP image format support,https://developers.google.com/speed/webp/docs/riff_container,WebP is an image format that provides lossless and lossy compression for images on the web. ,Public discussion,Not currently planned,,,,,,@6471725441089536,,,,
TRUE,,Realtime / Communication,WebRTC,http://dev.w3.org/2011/webrtc/editor/webrtc.html,"Real-time communication in the browser. See also the ""Object RTC"" feature.",Working draft or equivalent,Not currently planned,,,,http://docs.webplatform.org/wiki/apis/webrtc,,@6612462929444864,,,,
TRUE,,Realtime / Communication,Object RTC,http://ortc.org/,Enables mobile endpoints to talk to servers and web browsers with Real-Time Communications (RTC) capabilities via native and simple Javascript APIs,Working draft or equivalent,Under Consideration,,,,,,,Not supported,Not supported,Not supported,Not supported
TRUE,,Network / Connectivity,WebSocket,http://dev.w3.org/html5/websockets/,The WebSockets JavaScript API provides a simple API for bi-directional communication with web servers. The WebSocket network protocol enables low overhead bi-directional communication with web servers over a persistent TCP connection.,Working draft or equivalent,Shipped,,10,http://msdn.microsoft.com/en-us/library/ie/hh673567(v=vs.85).aspx,http://docs.webplatform.org/wiki/concepts/protocols/websocket,,@6555138000945152,,,Shipped,
FALSE,,Misc,WOFF 2.0 (improved font compression),https://code.google.com/p/font-compression-reference/source/browse/brotli/brotlispec.txt,Web Open Font Format. WOFF 2.0 significantly improves font compression. ,Public discussion,Under Consideration,,,,,,@6718644721549312,,,,
TRUE,,Network / Connectivity,XMLHttpRequest timeout,https://dvcs.w3.org/hg/xhr/raw-file/tip/Overview.html,Exposing the XHR timeout property and sending corresponding events such as ontimeout.,Working draft or equivalent,Shipped,,10,http://msdn.microsoft.com/en-us/library/ie/cc304105(v=vs.85).aspx,http://docs.webplatform.org/wiki/apis/xhr/XMLHttpRequest/timeout,,@6290890138058752,,,,
TRUE,,JavaScript,Arrow function,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,The arrow (=>) takes the place of the function keyword,Editor's draft,Under Consideration,,,,,,@5047308127305728,,,,
TRUE,,CSS,Box Alignment,http://dev.w3.org/csswg/css3-align/,CSS properties for aligning boxes within their container. Allows for true vertical centering among other features.,Working draft or equivalent,Under Consideration,,,http://msdn.microsoft.com/en-us/library/ie/bg124109(v=vs.85).aspx#setting_flexbox_alignment_,,,@6173208034148352,,,,
TRUE,,CSS,CSS filter() image function,http://www.w3.org/TR/filter-effects/#FilterCSSImageValue,The function allows filtering an CSS input image with a set of filter functions. The used filter functions are the same as for the CSS filter property. The filter() function can be animated as well.,Working draft or equivalent,Under Consideration,,,,,,@5425136400334848,,,,
TRUE,,JavaScript,Default parameter,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,Allows formal parameters to be initialized with default values if no value is passed.,Editor's draft,Under Consideration,,,,,,@5275456790069248,,,,
